,Unnamed: 0,name,wm_ID,rating,num_of_rating,price,brand,connection,type,battery,microphone,noise,water,weight,impedance,frequency response,sensitivity,UPC,manufacturerID,HeadphoneStyle,Wireless,HeadphoneType
573,579,Bose Noise Cancelling Wireless Headphones 700 with Google Assistant,575563048.0,4.7,235,379.0,turn,0,,20.0,1.0,cancel,,lightweight,,,,,700.0,over,Y,over
574,580,Walkers Razor Flat Dark Earth American Flag,,4.4,7,47.99,the,0,,,1.0,reduct,,,,,23db,,23.0,,Y,over
575,581,Apple AirPods Pro,577856461.0,4.6,2245,219.0,active,1,in,24.0,,cancel,resist,,,,,,1.0,in,Y,in
576,582,"ONIKUMA K10 Gaming Headset,Stereo Bass Surround RGB Noise Cancelling Over Ear Headphones with Mic,for PS4 Xbox One PC Nintendo Switch Tablet Smartphone",,4.8,12,35.99,perfect,0,,,1.0,reduct,,550g,,20hz,3db,,50.0,,N,
577,583,"Bluetooth 5.0 True Wireless Earbuds Headphones w/ Charging Case, One-Step Pairing, IP67 Waterproof, 20Hrs Playtime In-Ear Headset Earphone Hands-free Earpiece Built-in Mic for iPhone/Android Black",586219737.0,4.6,86,28.99,why,1,,6.0,1.0,,proof,lightweight,,,,,4.0,,Y,
578,584,Beats Studio3 Wireless Over-Ear Noise Cancelling Headphones - Matte Black,571298612.0,4.1,127,229.99,beats,0,on,40.0,1.0,cancel,,9.17 oz,,,,,3.0,over,Y,on
579,585,"Bose QuietComfort Noise Cancelling Earbuds – True Wireless Headphones, Black",585374518.0,3.7,10,279.0,bose,0,,6.0,1.0,cancel,,,,,,,11.0,in,Y,in
580,586,Bose Noise Cancelling Wireless Headphones 700 with Google Assistant,575563048.0,4.7,235,379.0,turn,0,,20.0,1.0,cancel,,lightweight,,,,,700.0,over,Y,over
581,587,Walkers Razor Flat Dark Earth American Flag,,4.4,7,47.99,the,0,,,1.0,reduct,,,,,23db,,23.0,,Y,over
582,588,Apple AirPods Pro,577856461.0,4.6,2245,219.0,active,1,in,24.0,,cancel,resist,,,,,,1.0,in,Y,in
583,589,"ONIKUMA K10 Gaming Headset,Stereo Bass Surround RGB Noise Cancelling Over Ear Headphones with Mic,for PS4 Xbox One PC Nintendo Switch Tablet Smartphone",,4.8,12,35.99,perfect,0,,,1.0,reduct,,550g,,20hz,3db,,50.0,,N,
584,590,"Bluetooth 5.0 True Wireless Earbuds Headphones w/ Charging Case, One-Step Pairing, IP67 Waterproof, 20Hrs Playtime In-Ear Headset Earphone Hands-free Earpiece Built-in Mic for iPhone/Android Black",586219737.0,4.6,86,28.99,why,1,,6.0,1.0,,proof,lightweight,,,,,4.0,,Y,
585,591,Beats Studio3 Wireless Over-Ear Noise Cancelling Headphones - Matte Black,571298612.0,4.1,127,229.99,beats,0,on,40.0,1.0,cancel,,9.17 oz,,,,,3.0,over,Y,on
586,592,"Bose QuietComfort Noise Cancelling Earbuds – True Wireless Headphones, Black",585374518.0,3.7,10,279.0,bose,0,,6.0,1.0,cancel,,,,,,,11.0,in,Y,in
587,593,Bose Noise Cancelling Wireless Headphones 700 with Google Assistant,575563048.0,4.7,235,379.0,turn,0,,20.0,1.0,cancel,,lightweight,,,,,700.0,over,Y,over
588,594,Walkers Razor Flat Dark Earth American Flag,,4.4,7,47.99,the,0,,,1.0,reduct,,,,,23db,,23.0,,Y,over
589,595,Apple AirPods Pro,577856461.0,4.6,2245,219.0,active,1,in,24.0,,cancel,resist,,,,,,1.0,in,Y,in
590,596,"ONIKUMA K10 Gaming Headset,Stereo Bass Surround RGB Noise Cancelling Over Ear Headphones with Mic,for PS4 Xbox One PC Nintendo Switch Tablet Smartphone",,4.8,12,35.99,perfect,0,,,1.0,reduct,,550g,,20hz,3db,,50.0,,N,
591,597,"Bluetooth 5.0 True Wireless Earbuds Headphones w/ Charging Case, One-Step Pairing, IP67 Waterproof, 20Hrs Playtime In-Ear Headset Earphone Hands-free Earpiece Built-in Mic for iPhone/Android Black",586219737.0,4.6,86,28.99,why,1,,6.0,1.0,,proof,lightweight,,,,,4.0,,Y,
592,598,Beats Studio3 Wireless Over-Ear Noise Cancelling Headphones - Matte Black,571298612.0,4.1,127,229.99,beats,0,on,40.0,1.0,cancel,,9.17 oz,,,,,3.0,over,Y,on
593,599,Walkers Razor Flat Dark Earth American Flag,,4.4,7,47.99,the,0,,,1.0,reduct,,,,,23db,,23.0,,Y,over
594,600,Apple AirPods Pro,577856461.0,4.6,2245,219.0,active,1,in,24.0,,cancel,resist,,,,,,1.0,in,Y,in
595,601,"ONIKUMA K10 Gaming Headset,Stereo Bass Surround RGB Noise Cancelling Over Ear Headphones with Mic,for PS4 Xbox One PC Nintendo Switch Tablet Smartphone",,4.8,12,35.99,perfect,0,,,1.0,reduct,,550g,,20hz,3db,,50.0,,N,
596,602,"Bluetooth 5.0 True Wireless Earbuds Headphones w/ Charging Case, One-Step Pairing, IP67 Waterproof, 20Hrs Playtime In-Ear Headset Earphone Hands-free Earpiece Built-in Mic for iPhone/Android Black",586219737.0,4.6,86,28.99,why,1,,6.0,1.0,,proof,lightweight,,,,,4.0,,Y,
597,603,"Bose QuietComfort Noise Cancelling Earbuds – True Wireless Headphones, Black",585374518.0,3.7,10,279.0,bose,0,,6.0,1.0,cancel,,,,,,,11.0,in,Y,in
598,604,"Bose QuietComfort Noise Cancelling Earbuds – True Wireless Headphones, Black",585374518.0,3.7,10,279.0,bose,0,,6.0,1.0,cancel,,,,,,,11.0,in,Y,in
599,605,Bose Noise Cancelling Wireless Headphones 700 with Google Assistant,575563048.0,4.7,235,379.0,turn,0,,20.0,1.0,cancel,,lightweight,,,,,700.0,over,Y,over
600,606,Walkers Razor Flat Dark Earth American Flag,,4.4,7,47.99,the,0,,,1.0,reduct,,,,,23db,,23.0,,Y,over
601,607,Apple AirPods Pro,577856461.0,4.6,2245,219.0,active,1,in,24.0,,cancel,resist,,,,,,1.0,in,Y,in
602,608,"ONIKUMA K10 Gaming Headset,Stereo Bass Surround RGB Noise Cancelling Over Ear Headphones with Mic,for PS4 Xbox One PC Nintendo Switch Tablet Smartphone",,4.8,12,35.99,perfect,0,,,1.0,reduct,,550g,,20hz,3db,,50.0,,N,
603,609,"Bluetooth 5.0 True Wireless Earbuds Headphones w/ Charging Case, One-Step Pairing, IP67 Waterproof, 20Hrs Playtime In-Ear Headset Earphone Hands-free Earpiece Built-in Mic for iPhone/Android Black",586219737.0,4.6,86,28.99,why,1,,6.0,1.0,,proof,lightweight,,,,,4.0,,Y,
604,610,Beats Studio3 Wireless Over-Ear Noise Cancelling Headphones - Matte Black,571298612.0,4.1,127,229.99,beats,0,on,40.0,1.0,cancel,,9.17 oz,,,,,3.0,over,Y,on
605,611,"Bose QuietComfort Noise Cancelling Earbuds – True Wireless Headphones, Black",585374518.0,3.7,10,279.0,bose,0,,6.0,1.0,cancel,,,,,,,11.0,in,Y,in
606,612,Bose Noise Cancelling Wireless Headphones 700 with Google Assistant,575563048.0,4.7,235,379.0,turn,0,,20.0,1.0,cancel,,lightweight,,,,,700.0,over,Y,over
607,613,Walkers Razor Flat Dark Earth American Flag,,4.4,7,47.99,the,0,,,1.0,reduct,,,,,23db,,23.0,,Y,over
608,614,Apple AirPods Pro,577856461.0,4.6,2245,219.0,active,1,in,24.0,,cancel,resist,,,,,,1.0,in,Y,in
609,615,"ONIKUMA K10 Gaming Headset,Stereo Bass Surround RGB Noise Cancelling Over Ear Headphones with Mic,for PS4 Xbox One PC Nintendo Switch Tablet Smartphone",,4.8,12,35.99,perfect,0,,,1.0,reduct,,550g,,20hz,3db,,50.0,,N,
610,616,"Bluetooth 5.0 True Wireless Earbuds Headphones w/ Charging Case, One-Step Pairing, IP67 Waterproof, 20Hrs Playtime In-Ear Headset Earphone Hands-free Earpiece Built-in Mic for iPhone/Android Black",586219737.0,4.6,86,28.99,why,1,,6.0,1.0,,proof,lightweight,,,,,4.0,,Y,
611,617,Beats Studio3 Wireless Over-Ear Noise Cancelling Headphones - Matte Black,571298612.0,4.1,127,229.99,beats,0,on,40.0,1.0,cancel,,9.17 oz,,,,,3.0,over,Y,on
612,618,"Bose QuietComfort Noise Cancelling Earbuds – True Wireless Headphones, Black",585374518.0,3.7,10,279.0,bose,0,,6.0,1.0,cancel,,,,,,,11.0,in,Y,in
613,619,Bose Noise Cancelling Wireless Headphones 700 with Google Assistant,575563048.0,4.7,235,379.0,turn,0,,20.0,1.0,cancel,,lightweight,,,,,700.0,over,Y,over
614,620,Walkers Razor Flat Dark Earth American Flag,,4.4,7,47.99,the,0,,,1.0,reduct,,,,,23db,,23.0,,Y,over
615,621,Apple AirPods Pro,577856461.0,4.6,2245,219.0,active,1,in,24.0,,cancel,resist,,,,,,1.0,in,Y,in
616,622,"ONIKUMA K10 Gaming Headset,Stereo Bass Surround RGB Noise Cancelling Over Ear Headphones with Mic,for PS4 Xbox One PC Nintendo Switch Tablet Smartphone",,4.8,12,35.99,perfect,0,,,1.0,reduct,,550g,,20hz,3db,,50.0,,N,
617,623,"Bluetooth 5.0 True Wireless Earbuds Headphones w/ Charging Case, One-Step Pairing, IP67 Waterproof, 20Hrs Playtime In-Ear Headset Earphone Hands-free Earpiece Built-in Mic for iPhone/Android Black",586219737.0,4.6,86,28.99,why,1,,6.0,1.0,,proof,lightweight,,,,,4.0,,Y,
618,624,Beats Studio3 Wireless Over-Ear Noise Cancelling Headphones - Matte Black,571298612.0,4.1,127,229.99,beats,0,on,40.0,1.0,cancel,,9.17 oz,,,,,3.0,over,Y,on
619,625,"Bose QuietComfort Noise Cancelling Earbuds – True Wireless Headphones, Black",585374518.0,3.7,10,279.0,bose,0,,6.0,1.0,cancel,,,,,,,11.0,in,Y,in
620,626,Bose Noise Cancelling Wireless Headphones 700 with Google Assistant,575563048.0,4.7,235,379.0,turn,0,,20.0,1.0,cancel,,lightweight,,,,,700.0,over,Y,over
621,627,Walkers Razor Flat Dark Earth American Flag,,4.4,7,47.99,the,0,,,1.0,reduct,,,,,23db,,23.0,,Y,over
622,628,Apple AirPods Pro,577856461.0,4.6,2245,219.0,active,1,in,24.0,,cancel,resist,,,,,,1.0,in,Y,in
623,629,"ONIKUMA K10 Gaming Headset,Stereo Bass Surround RGB Noise Cancelling Over Ear Headphones with Mic,for PS4 Xbox One PC Nintendo Switch Tablet Smartphone",,4.8,12,35.99,perfect,0,,,1.0,reduct,,550g,,20hz,3db,,50.0,,N,
624,630,"Bluetooth 5.0 True Wireless Earbuds Headphones w/ Charging Case, One-Step Pairing, IP67 Waterproof, 20Hrs Playtime In-Ear Headset Earphone Hands-free Earpiece Built-in Mic for iPhone/Android Black",586219737.0,4.6,86,28.99,why,1,,6.0,1.0,,proof,lightweight,,,,,4.0,,Y,
