name,brand,model,sku,price,rating,rating_amount,_connection_,_type_,_battery_,_microphone_,_noise_,_water_,_UPC_
Sennheiser - HD 450BT Wireless Noise Cancelling Over-the-Ear Headphones - White,Sennheiser,HD 450BT WHITE,6405730,149.98,4,64,1,,30,1,cancel,,
Ausounds - AU-Stream ANC True Wireless Noise Cancelling Earphone - Black,Ausounds,AUSANC102,6436503,149.99,4,5,1,in,20,1,cancel,resist,
ReTrak - ReTrack Remixd True Wireless In-Ear Headphones - Black,ReTrak,ETPRAUDTW,5973337,79.99,4.2,5,1,in,,1,isolate,resist,
eKids - Minnie Mouse Bow-tique Wired Over-the-Ear Headphones - Pink/White,eKids,MM-140.3XV7,7008058,19.99,4.4,3788,0,,,1,isolate,resist,
Plantronics - Backbeat FIT 6100 Over-the-Ear Wireless Sport Headphones - Black,Plantronics,213571-99,6361734,179.99,4,109,1,,24,1,isolate,resist,
Skullcandy - Sesh Evo True Wireless In-Ear Headphones - True  Black,Skullcandy,S2TVW-N896,6412863,24.99,4.1,385,1,in,,1,cancel,resist,
MXL - Microphone,MXL,AC-404-WHITE,6412615,79.95,,,1,,,1,,,8.01813E+11
TCL - SOCL series SOCL300BTOR Wireless In-Ear Headphones - Sunset Orange,TCL,SOCL300BTORNA,6392374,59.99,,,1,in,17,1,isolate,,
Native Union - Leather Airpods Pro Case - Black,Native Union,APPRO-LTHR-BLK-AP,6422492,39.99,4.7,6,0,,,0,,,8.46654E+11
Jabra - Elite 25e Wireless In-Ear Headphones - Silver,Jabra,100-98400001-14,6081002,79.99,3.7,445,1,in,18,1,isolate,resist,
Apple - EarPods™ with 3.5mm Plug - White,Apple,MNHF2AM/A,6848136,19.99,4.6,15537,0,in,,1,isolate,resist,
Bose - SoundSport Wireless Sports Earbuds - Black,Bose,761529-0010,5168600,89,4.5,15831,1,in,6,1,cancel,resist,
JVC - Fitness In-Ear True Wireless Headphones with Dual Use Design - Black,JVC,HAET45TB,6412860,79.99,3.5,31,1,in,,0,isolate,,46838081965
Insignia™ - Wired Earbud Headphones - Off-white,Insignia™,NS-CAHEP2,5989700,12.99,4.3,1062,0,in,,1,isolate,,
Plantronics - Backbeat FIT 3150 True Wireless Sport Headphones - Black,Plantronics,215104-99,6361731,149.99,4.2,325,1,in,8,1,isolate,resist,
Master & Dynamic - MH40 Wireless Over-the-Ear Headphones - Gunmetal/Black,Master & Dynamic,MH40G1-W,6405598,249.98,5,2,1,,18,1,cancel,,
"Audio-Technica - Audio Technica ATH-CLR100ISBL SonicFuel Earbuds, Black - Blue",Audio-Technica,AUD ATHCLR100ISBL,6424144,14.99,,,0,in,,1,isolate,,
Bang & Olufsen Beoplay H9 3rd Generation Wireless Noise Cancelling Over-the-Ear Headphones - Grey Mist,Bang & Olufsen,53625BBR,6409238,499.98,4.4,42,1,over,,0,cancel,,5.70526E+12
